director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,summary,overview
Hsiao-Hsien Hou,Qi Shu,Chen Chang,Satoshi Tsumabuki,Action Drama,Interview with the Assassin,Qi Shu Chen Chang Satoshi Tsumabuki Hsiao-Hsien Hou Action Drama,"Out of work TV cameraman Ron Kobelski is approached by his formerly reclusive neighbor Walter Ohlinger. Ohlinger claims that he was the mysterious ""second gunman"" that shot and killed President Kennedy. Ohlinger has kept quiet all these years, but has decided to tell his story now that he has been diagnosed with terminal cancer. Kobelski is skeptical of his neighbor's story, after his investigations provide ambiguous answers. His attitude changes, however, after he receives threatening messages on his answering machine, and spots shadowy figures in his backyard. Is Ohlinger telling the truth? Or is there a bigger conspiracy at work?"
Gregor Jordan,Dean Stockwell,Scott Glenn,Leon,Comedy Crime Drama Thriller War,Buffalo Soldiers,Dean Stockwell Scott Glenn Leon Gregor Jordan Comedy Crime Drama Thriller War,A criminal subculture operates among U.S. soldiers stationed in West Germany just before the fall of the Berlin wall.
Andrey Zvyagintsev,Konstantin Lavronenko,Vladimir Garin,Nataliya Vdovina,Drama Mystery Thriller,The Return of Jafar,Konstantin Lavronenko Vladimir Garin Nataliya Vdovina Andrey Zvyagintsev Drama Mystery Thriller,"The evil Jafar escapes from the magic lamp as an all-powerful genie, ready to plot his revenge against Aladdin. From battling elusive villains atop winged horses, to dodging flames inside an exploding lava pit, it's up to Aladdin - with Princess Jasmine and the outrageously funny Genie by his side - to save the kingdom once and for all."
Tony Jaa,Nirut Sirichanya,Petchtai Wongkamlao,Sarunyu Wongkrachang,Action,Ong Bak 2,Nirut Sirichanya Petchtai Wongkamlao Sarunyu Wongkrachang Tony Jaa Action,Moments from death a young man is rescued by a renowned warrior. Realizing unsurpassed physical potential in the young boy he trains him into the most dangerous man alive. As he becomes a young man he goes on a lone mission of vengeance against the vicious slave traders who enslaved him as a youth and the treacherous warlord who killed his father.
Neil Marshall,Michael Fassbender,JJ Feild,Dave Legeno,Action Adventure Drama History Thriller War,Centurion,Michael Fassbender JJ Feild Dave Legeno Neil Marshall Action Adventure Drama History Thriller War,"Britain, A.D. 117. Quintus Dias, the sole survivor of a Pictish raid on a Roman frontier fort, marches north with General Virilus' legendary Ninth Legion, under orders to wipe the Picts from the face of the Earth and destroy their leader, Gorlacon."
Russell Mulcahy,Christopher Heyerdahl,Gina Bellman,Conrad Dunn,Action Drama Thriller,Silent Trigger,Christopher Heyerdahl Gina Bellman Conrad Dunn Russell Mulcahy Action Drama Thriller,"Waxman is a former Special Forces soldier who is now working as a heavily armed assassin for a top secret government agency. When a covert mission goes terribly wrong, Waxman and fellow assassin Clegg become that agency's prime targets."
Ryûhei Kitamura,Bradley Cooper,Brooke Shields,Leslie Bibb,Fantasy Horror Mystery,The Midnight Meat Train,Bradley Cooper Brooke Shields Leslie Bibb Ryûhei Kitamura Fantasy Horror Mystery,"A photographer's obsessive pursuit of dark subject matter leads him into the path of a serial killer who stalks late night commuters, ultimately butchering them in the most gruesome ways."
Darrell Roodt,Jennifer Hudson,Wendy Crewson,Aubrey Poo,Biography Drama History,Winnie Mandela,Jennifer Hudson Wendy Crewson Aubrey Poo Darrell Roodt Biography Drama History,A drama that chronicles the life of Winnie Mandela from her childhood through her marriage and her husband's incarceration.
Dito Montiel,Channing Tatum,Al Pacino,Tracy Morgan,Crime Drama Thriller,The Son of No One,Channing Tatum Al Pacino Tracy Morgan Dito Montiel Crime Drama Thriller,A rookie cop is assigned to the 118 Precinct in the same district where he grew up. The Precinct Captain starts receiving letters about two unsolved murders that happened many years ago in the housing projects when the rookie cop was just a kid. These letters bring back bad memories and old secrets that begin to threaten his career and break up his family.
Stefan Ruzowitzky,Eddie Izzard,Udo Kier,Edward Fox,Action Comedy Drama War,All The Queen's Men,Eddie Izzard Udo Kier Edward Fox Stefan Ruzowitzky Action Comedy Drama War,"A mismatched team of British Special Services agents led by an American must infiltrate, in disguise, a female-run Enigma factory in Berlin and bring back the decoding device that will end the war."
Jake Paltrow,Stephen Graham,Gael Le Cornec,Keith Allen,Comedy Drama Fantasy Music Romance,The Good Night,Stephen Graham Gael Le Cornec Keith Allen Jake Paltrow Comedy Drama Fantasy Music Romance,"Gary, a musician, is trapped in an unhappy relationship with his live-in lover, Dora. He becomes enthralled with a beautiful seductress who enters his dreams, and tries to control his dream-state so he can spend more and more time with her. When Gary sees his mystery woman's face on a bus billboard, he discovers she is real, and fate brings him an opportunity to meet her."
Juraj Jakubisko,Anna Friel,Hans Matheson,Franco Nero,Biography Drama Fantasy History,Bathory,Anna Friel Hans Matheson Franco Nero Juraj Jakubisko Biography Drama Fantasy History,"Bathory is based on the legends surrounding the life and deeds of Countess Elizabeth Bathory known as the greatest murderess in the history of mankind. Contrary to popular belief, Elizabeth Bathory was a modern Renaissance woman who ultimately fell victim to men’s aspirations for power and wealth."
Anthony Silverston,Liam Neeson,Steve Buscemi,Loretta Devine,Adventure Animation Family,Khumba,Liam Neeson Steve Buscemi Loretta Devine Anthony Silverston Adventure Animation Family,A half-striped zebra is blamed for the drought and leaves his herd in search of his missing stripes. He is joined on his quest by an overprotective wildebeest and a flamboyant ostrich; they defeat the tyrannical leopard and save his herd.
Gabe Ibáñez,Birgitte Hjort Sørensen,Robert Forster,Melanie Griffith,Action Sci-Fi Thriller,Autómata,Birgitte Hjort Sørensen Robert Forster Melanie Griffith Gabe Ibáñez Action Sci-Fi Thriller,"Jacq Vaucan, an insurance agent of ROC robotics corporation, routinely investigates the case of manipulating a robot. What he discovers will have profound consequences for the future of humanity."
Gerry Lively,Bruce Payne,Lucy Gaskell,Steven Elder,Action Adventure Fantasy,Dungeons & Dragons: Wrath of the Dragon God,Bruce Payne Lucy Gaskell Steven Elder Gerry Lively Action Adventure Fantasy,"Due to a curse from his former master Profion, Damodar survived his death by Ridley Freeborn as an undead entity in pursuit of an evil artifact for some hundred years, so that he might be capable of unleashing unstoppable destruction on Izmir and the descendants of those who caused his demise."
Daniele Luchetti,Maximilian Dirr,Rodrigo De la Serna,Ferdinando Vetere,Biography,Chiamatemi Francesco - Il Papa della gente,Maximilian Dirr Rodrigo De la Serna Ferdinando Vetere Daniele Luchetti Biography,
Tung-Shing Yee,Bingbing Fan,Daniel Wu,Yasuaki Kurata,Action Crime Drama Thriller,新宿事件,Bingbing Fan Daniel Wu Yasuaki Kurata Tung-Shing Yee Action Crime Drama Thriller,"Steelhead is a Chinese laborer who comes to Japan hoping for a better life. Unable to find honest work and bullied into the shadows with his fellow Chinese illegal immigrants, he soon finds himself ascending as the boss of a black market mob. After providing a deadly service to a powerful Yakuza crime boss, Steelhead’s rise to mafia power spirals rapidly out of control as he’s given reign over the dangerous and lucrative Shinjuku district."
Julien Temple,Samantha Morton,Dexter Fletcher,Linus Roache,Biography Drama,Pandaemonium,Samantha Morton Dexter Fletcher Linus Roache Julien Temple Biography Drama,"Set in England during the early 19th century, Pandaemonium evokes late-1960s America in its depiction of the relationship between Samuel Taylor Coleridge (Linus Roach) and William Wordsworth (John Hannah). Instead of going to Vietnam, Wordsworth goes off to fight against the French while Coleridge stays at home and promotes utopianism. After the war, the poets live and work together with Coleridge's wife, Sara (Samantha Morton), and Wordsworth's sister, Dorothy (Emily Woof). At first this communal arrangement works to the advantage of Coleridge--who does some of his best writing while Wordsworth stagnates--until Coleridge becomes addicted to opium. Wordsworth, meanwhile, doesn't find his voice until he abandons his friend. In 20th-century vernacular, Wordsworth is the yuppie, Coleridge the hippie."
Harold Ramis,Bill Murray,Chris Elliott,Willie Garson,Comedy Fantasy Romance,Groundhog Day,Bill Murray Chris Elliott Willie Garson Harold Ramis Comedy Fantasy Romance,"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over."
Gregory Jacobs,Matt Bomer,Channing Tatum,Kevin Nash,Comedy Drama Music,Magic Mike XXL,Matt Bomer Channing Tatum Kevin Nash Gregory Jacobs Comedy Drama Music,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance."
Baz Luhrmann,Leonardo DiCaprio,Harold Perrineau,Brian Dennehy,Drama Romance,Romeo + Juliet,Leonardo DiCaprio Harold Perrineau Brian Dennehy Baz Luhrmann Drama Romance,"In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains."
Gilles Paquet-Brenner,Kristin Scott Thomas,Aidan Quinn,Arben Bajraktaraj,Drama War,Elle s'appelait Sarah,Kristin Scott Thomas Aidan Quinn Arben Bajraktaraj Gilles Paquet-Brenner Drama War,"On the night of 16 July 1942, ten year old Sarah and her parents are being arrested and transported to the Velodrome d'Hiver in Paris where thousands of other jews are being sent to get deported. Sarah however managed to lock her little brother in a closet just before the police entered their apartment. Sixty years later, Julia Jarmond, an American journalist in Paris, gets the assignment to write an article about this raid, a black page in the history of France. She starts digging archives and through Sarah's file discovers a well kept secret about her own in-laws."
Peter Cousens,Sharon Leal,David Rasche,Bart Shatto,Drama Family Music,Freedom Writers,Sharon Leal David Rasche Bart Shatto Peter Cousens Drama Family Music,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school."
Clint Eastwood,Clint Eastwood,Morgan Freeman,Frances Fisher,Drama Western,Unforgiven,Clint Eastwood Morgan Freeman Frances Fisher Clint Eastwood Drama Western,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff."
Lars von Trier,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,Drama,Manderlay,Bryce Dallas Howard Jeremy Davies Jean-Marc Barr Lars von Trier Drama,"In 1933, after leaving Dogville, Grace Margaret Mulligan sees a slave being punished at a cotton farm called Manderlay. Officially slavery is illegal and Grace stands up against the owners of the farm. She stays with some gangsters in Manderlay and tries to influence the situation. But when harvest time comes Grace sees the social and economic reality of Manderlay."
Danny Boyle,Anil Kapoor,Saurabh Shukla,Ayush Mahesh Khedekar,Drama Romance,Slumdog Millionaire,Anil Kapoor Saurabh Shukla Ayush Mahesh Khedekar Danny Boyle Drama Romance,"Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ‘Who Wants to Be a Millionaire?’ but, after he wins, he is suspected of cheating."
Adrian Lyne,Fred Gwynne,Lois Smith,Anne Archer,Drama Romance Thriller,Fatal Attraction,Fred Gwynne Lois Smith Anne Archer Adrian Lyne Drama Romance Thriller,A married man's one night stand comes back to haunt him when that lover begins to stalk him and his family.
Garry Marshall,Julia Roberts,Hector Elizondo,Jason Alexander,Comedy Romance,Pretty Woman,Julia Roberts Hector Elizondo Jason Alexander Garry Marshall Comedy Romance,"When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain."
John Blanchard,Martin Short,Andrea Martin,Joe Flaherty,Comedy,The Towering Inferno,Martin Short Andrea Martin Joe Flaherty John Blanchard Comedy,"At the opening party of a colossal—but poorly constructed—office building, a massive fire breaks out, threatening to destroy the tower and everyone in it."
John Cornell,Paul Hogan,Linda Kozlowski,John Meillon,Action Adventure Comedy,Crocodile Dundee II,Paul Hogan Linda Kozlowski John Meillon John Cornell Action Adventure Comedy,Australian outback expert protects his New York love from gangsters who've followed her down under.
Vidhu Vinod Chopra,María Valverde,Chris Marquette,Chad Bishop,Action Crime Drama Mystery Thriller,Broken Horses,María Valverde Chris Marquette Chad Bishop Vidhu Vinod Chopra Action Crime Drama Mystery Thriller,"The bonds of brotherhood, the laws of loyalty, and the futility of violence in the shadows of the US Mexico border gang wars."
Oliver Stone,Tom Cruise,Tom Berenger,Stephen Baldwin,Biography Drama War,Born on the Fourth of July,Tom Cruise Tom Berenger Stephen Baldwin Oliver Stone Biography Drama War,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for."
Jon Turteltaub,Doug E. Doug,Leon,Malik Yoba,Adventure Comedy Family Sport,Cool Runnings,Doug E. Doug Leon Malik Yoba Jon Turteltaub Adventure Comedy Family Sport,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team."
Patrick Lussier,Jensen Ackles,Jaime King,Edi Gathegi,Horror Thriller,My Bloody Valentine,Jensen Ackles Jaime King Edi Gathegi Patrick Lussier Horror Thriller,"Ten years ago, a tragedy changed the town of Harmony forever. Tom Hanniger, an inexperienced coal miner, caused an accident in the tunnels that trapped and killed five men and sent the only survivor, Harry Warden, into a permanent coma. But Harry Warden wanted revenge. Exactly one year later, on Valentine’s Day, he woke up…and brutally murdered twenty-two people with a pickaxe before being killed."
Ole Bornedal,Kyra Sedgwick,Madison Davenport,Natasha Calis,Horror Thriller,The Possession,Kyra Sedgwick Madison Davenport Natasha Calis Ole Bornedal Horror Thriller,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child."
Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Chris Mulkey,Action Adventure Drama,First Blood,Sylvester Stallone Brian Dennehy Chris Mulkey Ted Kotcheff Action Adventure Drama,"When former Green Beret John Rambo is harassed by local law enforcement and arrested for vagrancy, the Vietnam vet snaps, runs for the hills and rat-a-tat-tats his way into the action-movie hall of fame. Hounded by a relentless sheriff, Rambo employs heavy-handed guerilla tactics to shake the cops off his tail."
Sylvain White,Chris Brown,Laz Alonso,Harry Lennix,Drama Music Romance,Stomp the Yard,Chris Brown Laz Alonso Harry Lennix Sylvain White Drama Music Romance,"After the death of his younger brother, a troubled 19-year-old street dancer from Los Angeles is able to bypass juvenile hall by enrolling in the historically black, Truth University in Atlanta, Georgia. But his efforts to get an education and woo the girl he likes are sidelined when he is courted by the top two campus fraternities, both of which want and need his fierce street-style dance moves to win the highly coveted national step show competition."
Lewis Gilbert,Caroline Munro,Desmond Llewelyn,Barbara Bach,Action Adventure Sci-Fi Thriller,The Spy Who Loved Me,Caroline Munro Desmond Llewelyn Barbara Bach Lewis Gilbert Action Adventure Sci-Fi Thriller,Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.
unknown,Amy Bruni,Steve Gonsalves,Jason Hawes,Documentary,Ghost Hunters: Vol. 1,Amy Bruni Steve Gonsalves Jason Hawes unknown Documentary,"Hear bone-chilling accounts of ghostly encounters in this three-episode collection of ""Ghost Hunters."" The program features eyewitness accounts and joins paranormal experts as they investigate possible hauntings. This volume takes you to claustrophobic barracks in search of legionnaire spirits, to a battlefield where 17th century soldiers are said to appear, and to the site of an old school where a phantom schoolmaster still resides."
Jamie Blanks,Alicia Witt,Loretta Devine,Julian Richings,Horror Mystery Thriller,Urban Legend,Alicia Witt Loretta Devine Julian Richings Jamie Blanks Horror Mystery Thriller,A college campus is plagued by a vicious serial killer murdering students in ways that correspond to various urban legends.
Stephen Frears,Keanu Reeves,Peter Capaldi,Swoosie Kurtz,Drama Romance,Dangerous Liaisons,Keanu Reeves Peter Capaldi Swoosie Kurtz Stephen Frears Drama Romance,"In 18th century France, Marquise de Merteuil asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things don’t go as planned."
Tyler Perry,Eddie Cibrian,Phylicia Rashad,Jamie Kennedy,Comedy Drama Romance,Good Deeds,Eddie Cibrian Phylicia Rashad Jamie Kennedy Tyler Perry Comedy Drama Romance,"Businessman Wesley Deeds is jolted out of his scripted life when he meets Lindsey, a single mother who works on the cleaning crew in his office building."
Randal Kleiser,Seymour Cassel,Klaus Maria Brandauer,Susan Hogan,Adventure Drama,White Fang,Seymour Cassel Klaus Maria Brandauer Susan Hogan Randal Kleiser Adventure Drama,Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.
Bruce McCulloch,Will Ferrell,Elaine Hendrix,Molly Shannon,Comedy Romance,Superstar,Will Ferrell Elaine Hendrix Molly Shannon Bruce McCulloch Comedy Romance,"Orphan Mary Katherine Gallagher, an ugly duckling at St. Monica High School, has a dream: to be kissed soulfully. She decides she can realize this dream if she becomes a superstar, so her prayers, her fantasies, and her conversations with her only friend focus on achieving super-stardom."
Phyllida Lloyd,Meryl Streep,Jim Broadbent,Olivia Colman,Biography Drama History,The Iron Lady,Meryl Streep Jim Broadbent Olivia Colman Phyllida Lloyd Biography Drama History,"A look at the life of Margaret Thatcher, the former Prime Minister of the United Kingdom, with a focus on the price she paid for power."
Mike Nawrocki,Phil Vischer,Mike Nawrocki,Shelby Vischer,Adventure Animation Comedy Drama Family Musical,Jonah: A VeggieTales Movie,Phil Vischer Mike Nawrocki Shelby Vischer Mike Nawrocki Adventure Animation Comedy Drama Family Musical,"Get ready as Bob the Tomato, Larry the Cucumber and the rest of the Veggies set sail on a whale of an adventure in Big Idea's first full-length, 3-D animated feature film. This is the story of Jonah and the Whale as you've never seen it before - a story where we learn that one of the best gifts you can give - or get - is a second chance."
John Singleton,Janet Jackson,Khandi Alexander,Maya Angelou,Drama Romance,Poetic Justice,Janet Jackson Khandi Alexander Maya Angelou John Singleton Drama Romance,"In this film, we see the world through the eyes of main character Justice, a young African-American poet. A mail carrier invites a few friends along for a long overnight delivery run."
Kevin Bray,Mike Epps,Roger Guenveur Smith,Gino Salvano,Action Comedy Crime Thriller,All About the Benjamins,Mike Epps Roger Guenveur Smith Gino Salvano Kevin Bray Action Comedy Crime Thriller,"Bucum Jackson (Cube) is a bounty hunter with a lot of attitude and no interest in taking on a partner. Working at Martinez Bail Bonds, Jackson has unorthodox methods of tracking down low-life criminals, but they work, and one day he hopes to become his own boss and open up his own private investigation firm. Reggie Wright (Epps) is a slippery con artist who is avoiding the law, and Jackson. During a cat and mouse chase, the two stumble on a multi-million dollar diamond heist. Hiding from Jackson, Wright finds himself in the thieves' getaway van and ends up having to escape from them after they discover their booty is fake, much to the displeasure of their ruthless boss (Flanagan). When Wright meets up with his girlfriend (Mendes), he discovers that his recently purchased lottery ticket is the sole winner of $60 million. Unfortunately, his wallet, which held the ticket, was left in the thieves' van, so he persuades Jackson to help him get it back."
Wes Craven,John Witherspoon,W. Earl Brown,Allen Payne,Comedy Fantasy Horror Romance,Vampire in Brooklyn,John Witherspoon W. Earl Brown Allen Payne Wes Craven Comedy Fantasy Horror Romance,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell."
John Boorman,Linda Blair,Richard Burton,Ned Beatty,Horror,Exorcist II: The Heretic,Linda Blair Richard Burton Ned Beatty John Boorman Horror,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a hypnotic research specialist free her from its grasp?"
Courtney Solomon,Sissy Spacek,James D'Arcy,Vernon Dobtcheff,Horror Mystery Thriller,An American Haunting,Sissy Spacek James D'Arcy Vernon Dobtcheff Courtney Solomon Horror Mystery Thriller,Based on the true events of the only case in US History where a spirit caused the death of a man.
David Zucker,Carmen Electra,Tyler Labine,Molly Shannon,Comedy Romance,My Boss's Daughter,Carmen Electra Tyler Labine Molly Shannon David Zucker Comedy Romance,"When a young man agrees to housesit for his boss, he thinks it'll be the perfect opportunity to get close to the woman he desperately has a crush on – his boss's daughter. But he doesn't plan on the long line of other houseguests that try to keep him from his mission. And he also has to deal with the daughter's older brother, who's on the run from local drug dealers."
David Twohy,Chris Hemsworth,Milla Jovovich,Marley Shelton,Adventure Mystery Thriller,A Perfect Getaway,Chris Hemsworth Milla Jovovich Marley Shelton David Twohy Adventure Mystery Thriller,"For their honeymoon, newlyweds Cliff and Cydney head to the tropical islands of Hawaii. While journeying through the paradisaical countryside the couple encounters Kale and Cleo, two disgruntled hitchhikers and Nick and Gina, two wild but well-meaning spirits who help guide them through the lush jungles. The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers."
Rick Famuyiwa,America Ferrera,Lance Gross,Lupe Ontiveros,Comedy Romance,Our Family Wedding,America Ferrera Lance Gross Lupe Ontiveros Rick Famuyiwa Comedy Romance,"The weeks leading up to a young couple's wedding is comic and stressful, especially as their respective fathers try to lay to rest their feud."
Alan Cohn,Alyson Hannigan,Linda Cardellini,Poppy Montgomery,Comedy,Dead Man on Campus,Alyson Hannigan Linda Cardellini Poppy Montgomery Alan Cohn Comedy,College freshmen Josh and Cooper are more interested in hitting the bottle than in hitting the books -- and their poor grades are set to get them kicked out of school. Their only hope of passing is to find a roommate who will kill himself. That's because an oddball college code states that a suicide victim's roommates automatically get straight A's. But sharing space with a lineup of lunatics proves enough to drive both boys crazy.
Franco Zeffirelli,Lily Tomlin,Joan Plowright,Paolo Seganti,Comedy Drama War,Tea with Mussolini,Lily Tomlin Joan Plowright Paolo Seganti Franco Zeffirelli Comedy Drama War,"Semi-autobiographical film directed by Franco Zeffirelli, telling the story of young Italian boy Luca's upbringing by a circle of English and American women, before and during World War II."
Tom Holland,Joe Mantegna,Bethany Joy Lenz,Kari Wuhrer,Fantasy Horror,Thinner,Joe Mantegna Bethany Joy Lenz Kari Wuhrer Tom Holland Fantasy Horror,"A fat lawyer finds himself growing ""Thinner"" when an old gypsy man places a hex on him. Now the lawyer must call upon his friends in organized crime to help him persuade the gypsy to lift the curse. Time is running out for the desperate lawyer as he draws closer to his own death, and grows ever thinner."
Martin Scorsese,Robert De Niro,Liza Minnelli,Mary Kay Place,Drama Music Musical Romance,"New York, New York",Robert De Niro Liza Minnelli Mary Kay Place Martin Scorsese Drama Music Musical Romance,"An egotistical saxophone player and a young singer meet on V-J Day and embark upon a strained and rocky romance, even as their careers begin a long uphill climb."
Spike Lee,Alfre Woodard,Delroy Lindo,Isaiah Washington,Comedy Drama,Crooklyn,Alfre Woodard Delroy Lindo Isaiah Washington Spike Lee Comedy Drama,"From Spike Lee comes this vibrant semi-autobiographical portrait of a school-teacher, her stubborn jazz-musician husband and their five kids living in '70s Brooklyn."
Chris Rock,Steve Buscemi,Eliza Coupe,Wendell Pierce,Comedy Drama Romance,I Think I Love My Wife,Steve Buscemi Eliza Coupe Wendell Pierce Chris Rock Comedy Drama Romance,"Richard Cooper is a married man and father of two who is just plain bored with married life. Not getting any sex from his wife, he resorts to ogling random women on the street to the point that he takes lunch late to look at them. When old crush Nikki Tru visits his office to get a reference letter, she becomes obsessed with Cooper and they begin a complicated relationship."
James Isaac,Peter Mensah,Kane Hodder,Lexa Doig,Action Horror Sci-Fi Thriller,Jason X,Peter Mensah Kane Hodder Lexa Doig James Isaac Action Horror Sci-Fi Thriller,"In the year 2455, Old Earth is now a contaminated planet abandoned for centuries -- a brown world of violent storms, toxic landmasses and poisonous seas. Yet humans have returned to the deadly place that they once fled, not to live, but to research the ancient, rusting artifacts of the long-gone civilizations. But it's not the harmful environment that could prove fatal to the intrepid, young explorers who have just landed on Old Earth. For them, it's Friday the 13th, and Jason lives!"
Shawn Levy,Frankie Muniz,Donald Faison,Lee Majors,Adventure Comedy Family,Big Fat Liar,Frankie Muniz Donald Faison Lee Majors Shawn Levy Adventure Comedy Family,"Fourteen-year-old Jason Shepherd has a reputation for stretching the truth. So, when big-time Hollywood producer Marty Wolf steals his class paper and turns it into a smash hit movie, no one believes Jason's latest tall tale! On a cross-country adventure to set the record straight, Jason and best friend Kaylee devise a high-tech plan to squeeze the truth out of Wolf through a series of outrageous pranks, crazy stunts and big laughs. It's payback time!"
Emilio Estevez,Anthony Hopkins,Nick Cannon,Brian Geraghty,Drama History,Bobby,Anthony Hopkins Nick Cannon Brian Geraghty Emilio Estevez Drama History,"In 1968 the lives of a retired doorman, hotel manager, lounge singer, busboy, beautician and others intersect in the wake of Robert F. Kennedy's assassination at the Ambassador Hotel in Los Angeles."
Mark Waters,Monica Potter,Ivana Milicevic,China Chow,Comedy Mystery Romance,Head Over Heels,Monica Potter Ivana Milicevic China Chow Mark Waters Comedy Mystery Romance,"Ordinary single girl Amanda Pierce unexpectedly finds herself sharing an awesome Manhattan apartment with four sexy supermodels. Determined to bring Amanda into their world, the models give her the ultimate makeover. The plan works fabulously as Amanda connects with next door charmer Jim Winston. That is, until one night..."
Josh Schwartz,Thomas McDonell,Jackson Nicoll,Osric Chau,Adventure Comedy,Fun Size,Thomas McDonell Jackson Nicoll Osric Chau Josh Schwartz Adventure Comedy,"Wren is invited to a Halloween party by her crush, Aaron Riley, but she is also forced by her mother to take her oddball little brother Albert with her when she goes out trick-or-treating on Halloween. When she goes to the party instead, she loses him and must find him before her mother finds out."
Julian Schnabel,Emmanuelle Seigner,Mathieu Amalric,Isaach De Bankolé,Biography Drama,Le scaphandre et le papillon,Emmanuelle Seigner Mathieu Amalric Isaach De Bankolé Julian Schnabel Biography Drama,"The true story of Elle France editor Jean-Dominique Bauby, who, in 1995 at the age of 43, suffered a stroke that paralyzed his entire body, except his left eye. Using that eye to blink out his memoir, Bauby eloquently described the aspects of his interior world, from the psychological torment of being trapped inside his body to his imagined stories from lands he'd only visited in his mind."
Todd Field,Kate Winslet,Noah Emmerich,Jane Adams,Drama Romance,Little Children,Kate Winslet Noah Emmerich Jane Adams Todd Field Drama Romance,"The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations."
Davis Guggenheim,Norman Reedus,Sharon Lawrence,Noam Jenkins,Drama Mystery Thriller,Gossip,Norman Reedus Sharon Lawrence Noam Jenkins Davis Guggenheim Drama Mystery Thriller,"On a beautiful college campus, something ugly is about to be spread around. A bit of gossip that was told is starting to take a frightening turn. Who could it have offended and how far will the person on the other side of the gossip handle the embarrassing situation."
Tony Goldwyn,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,Drama,A Walk on the Moon,Viggo Mortensen Julie Kavner Tovah Feldshuh Tony Goldwyn Drama,The world of a young housewife is turned upside down when she has an affair with a free-spirited blouse salesman.
Phillip Noyce,Derek Luke,Terry Pheto,Bonnie Henna,Biography Drama History,Catch a Fire,Derek Luke Terry Pheto Bonnie Henna Phillip Noyce Biography Drama History,"The true story of anti-apartheid activists in South Africa, and particularly the life of Patrick Chamusso, a timid foreman at Secunda CTL, the largest synthetic fuel plant in the world. Patrick is wrongly accused, imprisoned and tortured for an attempt to bomb the plant, with the injustice transforming the apolitical worker into a radicalised insurgent, who then carries out his own successful sabotage mission."
Stephen Carpenter,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,Drama Horror Mystery Thriller,Soul Survivors,Melissa Sagemiller Angela Featherstone Candace Kroslak Stephen Carpenter Drama Horror Mystery Thriller,A college freshman involved in a fatal car crash discovers she may not have survived after all when she becomes caught between the worlds of the living and the dead.
James Ivory,Seth Gilliam,Todd Boyce,Nigel Whitmey,Biography Drama History Romance,Jefferson in Paris,Seth Gilliam Todd Boyce Nigel Whitmey James Ivory Biography Drama History Romance,"His wife having recently died, Thomas Jefferson accepts the post of United States ambassador to pre-revolutionary France, though he finds it difficult to adjust to life in a country where the aristocracy subjugates an increasingly restless peasantry. In Paris, he becomes smitten with cultured artist Maria Cosway, but, when his daughter visits from Virginia accompanied by her attractive slave, Sally Hemings, Jefferson's attentions are diverted."
